Player,Season,Placement,Team,BMI,region
sasin,2015 summer,10.0,⁠⁠ssb,22.750023,kr
sasin,2016 spring,9.0,⁠⁠ssb,,kr
zet,2016 summer,1.0,⁠⁠rox,,kr
zet,2017 spring,3.0,⁠⁠edg,19.60254,kr
zet,2017 summer,1.0,⁠⁠edg,,kr
wiz,2018 spring,10.0,⁠⁠kdm,20.35399,kr
fantasy_(jeong_myeong-hoon),2020 summer,3.0,⁠⁠lsb.a,,kr
fantasy_(jeong_myeong-hoon),2022 spring,9.0,⁠⁠lsb,,kr
bonnie,2021 spring,7.0,⁠⁠kt,22.816416,kr
ring_troll,2012 summer,12.5,⁠⁠im,,kr
rather,2018 summer,2.0,⁠⁠grf,20.674162,kr
rather,2021 spring,9.5,⁠⁠lng,,kr
rather,2021 summer,2.0,⁠⁠lng,,kr
rather,2022 spring,5.5,⁠⁠lng,21.644135,kr
hiro_(lee_woo-suk),2012 spring,6.5,⁠⁠njf,,kr
hiro_(lee_woo-suk),2012 summer,12.5,⁠⁠nj shd,,kr
hiro_(lee_woo-suk),2013 spring,10.5,⁠⁠kt a,,kr
hiro_(lee_woo-suk),2015 summer,3.0,⁠⁠qg,,kr
hiro_(lee_woo-suk),2017 spring,5.5,⁠⁠nb,,kr
hiro_(lee_woo-suk),2017 summer,6.0,⁠⁠nb,,kr
zest_(kim_dong-min),2022 spring,2.0,⁠⁠gen,,kr
pll,2013 summer,12.5,⁠⁠im2,,kr
pll,2014 summer,12.5,⁠⁠mkz,20.92381,kr
smeb,2013 spring,10.5,⁠⁠im,,kr
smeb,2013 summer,12.5,⁠⁠im1,,kr
smeb,2014 spring,12.5,⁠⁠im1,,kr
smeb,2014 summer,12.5,⁠⁠im1,20.421688,kr
smeb,2015 spring,2.0,⁠⁠get,20.241589,kr
smeb,2015 summer,3.0,⁠⁠koo,20.477167,kr
smeb,2016 spring,2.0,⁠⁠rox,20.851212,kr
smeb,2016 summer,1.0,⁠⁠rox,20.545368,kr
smeb,2017 spring,2.0,⁠⁠kt,20.484484,kr
smeb,2017 summer,2.0,⁠⁠kt,21.110706,kr
smeb,2018 spring,3.0,⁠⁠kt,20.967155,kr
smeb,2018 summer,1.0,⁠⁠kt,20.788475,kr
smeb,2019 spring,9.0,⁠⁠kt,,kr
smeb,2019 summer,8.0,⁠⁠kt,20.015156,kr
smeb,2020 summer,4.0,⁠⁠kt,20.881546,kr
aiming,2018 spring,2.0,⁠⁠af,24.043102,kr
aiming,2018 summer,5.0,⁠⁠af,24.059982,kr
aiming,2019 spring,8.0,⁠⁠af,23.113346,kr
aiming,2019 summer,4.0,⁠⁠af,22.522202,kr
aiming,2020 spring,5.0,⁠⁠kt,20.78337,kr
aiming,2020 summer,4.0,⁠⁠kt,20.758339,kr
aiming,2021 spring,11.0,⁠⁠blg,22.543036,kr
aiming,2021 summer,7.5,⁠⁠blg,24.2023,kr
aiming,2022 spring,7.0,⁠⁠kt,,kr
aiming,2022 summer,4.0,⁠⁠kt,21.76495,kr
aiming,2023 spring,3.0,⁠⁠kt,23.564785,kr
sally,2019 spring,4.0,⁠⁠sb,,kr
kuma_(park_hyeon-gyu),2020 summer,10.0,⁠⁠sp,21.71811,kr
top_(an_hyo-chan),2022 summer,3.5,⁠⁠kt.a,,kr
comet,2013 summer,12.5,⁠⁠xs,,kr
comet,2017 summer,6.0,⁠⁠jag,,kr
comet,2018 spring,2.0,⁠⁠af,,kr
comet,2018 summer,3.0,⁠⁠af,,kr
comet,2019 spring,10.0,⁠⁠sn,,kr
comet,2019 summer,3.0,⁠⁠sb,,kr
comet,2020 spring,1.0,⁠⁠t1,,kr
comet,2020 summer,2.0,⁠⁠t1,,kr
comet,2021 summer,3.0,⁠⁠ns,,kr
comet,2022 spring,8.0,⁠⁠ns,19.968056,kr
comet,2022 summer,8.0,⁠⁠ns,,kr
coon,2020 spring,7.0,⁠⁠apk,,kr
coon,2020 summer,10.0,⁠⁠sp,,kr
profit,2017 spring,1.0,⁠⁠skt,21.743795,kr
profit,2017 summer,5.0,⁠⁠nip,21.743795,kr
profit,2018 spring,5.5,⁠⁠roc,21.49767,kr
profit,2018 summer,7.0,⁠⁠roc,21.700666,kr
profit,2019 spring,10.0,⁠⁠rge,20.478125,kr
profit,2019 summer,5.0,⁠⁠rge,20.502388,kr
fl4sh,2020 summer,6.0,⁠⁠drx.a,,kr
nuclear,2015 summer,10.0,⁠⁠ssb,22.054775,kr
nuclear,2016 spring,9.0,⁠⁠ssb,21.391088,kr
nuclear,2017 spring,5.5,⁠⁠h2k,23.083305,kr
nuclear,2017 summer,4.0,⁠⁠h2k,,kr
nuclear,2019 spring,4.0,⁠⁠dwg,21.992067,kr
nuclear,2019 summer,1.0,⁠⁠dwg,,kr
nuclear,2020 spring,5.0,⁠⁠dwg,,kr
yolo_(jang_hyeon-su),2015 spring,8.0,⁠⁠wfx,19.70855,kr
yolo_(jang_hyeon-su),2016 spring,6.0,⁠⁠m3,19.195747,kr
kamel,2022 summer,8.0,⁠⁠bro.a,,kr
nancheon,2021 summer,5.0,⁠⁠fox b,,kr
procxin,2014 summer,12.5,⁠⁠mkz,21.880486,kr
procxin,2016 spring,9.0,⁠⁠tip,,kr
procxin,2016 summer,3.0,⁠⁠nv,24.936554,kr
bdd,2016 spring,8.0,⁠⁠cj,19.90207,kr
bdd,2016 summer,10.0,⁠⁠cj,20.748835,kr
bdd,2017 summer,1.0,⁠⁠lz,20.134789,kr
bdd,2018 spring,1.0,⁠⁠kz,,kr
bdd,2018 summer,2.0,⁠⁠kz,,kr
bdd,2019 spring,9.0,⁠⁠kt,,kr
bdd,2019 summer,8.0,⁠⁠kt,20.316156,kr
bdd,2020 spring,2.0,⁠⁠gen,19.959547,kr
bdd,2020 summer,1.0,⁠⁠gen,20.643269,kr
bdd,2021 spring,2.0,⁠⁠gen,20.489662,kr
bdd,2021 summer,3.0,⁠⁠gen,21.306595,kr
bdd,2022 spring,8.0,⁠⁠ns,21.004974,kr
bdd,2022 summer,8.0,⁠⁠ns,22.44484,kr
bdd,2023 spring,3.0,⁠⁠kt,21.501202,kr
seoki,2021 summer,7.0,⁠⁠conu,,kr
bong_(cho_bo-woong),2021 summer,1.0,⁠⁠bsm,21.109585,kr
ucal,2018 spring,3.0,⁠⁠kt,20.458742,kr
ucal,2018 summer,1.0,⁠⁠kt,,kr
ucal,2019 spring,8.0,⁠⁠af,20.913225,kr
ucal,2019 summer,4.0,⁠⁠af,20.411419,kr
ucal,2020 spring,10.0,⁠⁠grf,20.208595,kr
ucal,2020 summer,4.0,⁠⁠kt,20.391687,kr
ucal,2021 spring,7.0,⁠⁠kt,20.479916,kr
ucal,2021 summer,7.0,⁠⁠kt,20.481153,kr
ucal,2022 spring,17.0,⁠⁠tt,20.454952,kr
ucal,2022 summer,12.0,⁠⁠tt,20.038345,kr
ucal,2023 spring,9.5,⁠⁠tt,20.054913,kr
midir,2023 summer,7.0,⁠⁠drx.a,,kr
thy,2014 summer,12.5,⁠⁠im1,,kr
swamp,2021 summer,6.0,⁠⁠sfou,,kr
chaos_(byun_young-sub),2019 spring,2.0,⁠⁠grf,20.82534,kr
chaos_(byun_young-sub),2019 summer,2.0,⁠⁠grf,,kr
chieftain,2018 spring,5.5,⁠⁠blg,20.038282,kr
chieftain,2018 summer,6.0,⁠⁠blg,22.10419,kr
chieftain,2020 spring,9.0,⁠⁠vg,20.860147,kr
chieftain,2021 spring,10.0,⁠⁠bro,19.822638,kr
chieftain,2021 summer,9.0,⁠⁠bro,19.10593,kr
chieftain,2022 spring,17.0,⁠⁠tt,20.409311,kr
lucifer_(kim_jae-won),2023 summer,6.0,⁠⁠gen.a,,kr
spike_(lee_jun-min),2022 summer,5.0,⁠⁠hle.a,,kr
spike_(lee_jun-min),2023 summer,1.0,⁠⁠hle.a,,kr
starlast,2013 spring,6.5,⁠⁠skt 1,,kr
starlast,2013 summer,6.5,⁠⁠jag.f,,kr
ghost_(jang_yong-jun),2016 summer,10.0,⁠⁠cj,20.994099,kr
ghost_(jang_yong-jun),2017 spring,8.0,⁠⁠bbq,20.913525,kr
ghost_(jang_yong-jun),2017 summer,9.0,⁠⁠bbq,20.657337,kr
ghost_(jang_yong-jun),2018 spring,8.0,⁠⁠bbq,20.444363,kr
ghost_(jang_yong-jun),2018 summer,10.0,⁠⁠bbq,,kr
ghost_(jang_yong-jun),2019 spring,5.0,⁠⁠sb,,kr
ghost_(jang_yong-jun),2019 summer,3.0,⁠⁠sb,19.572617,kr
ghost_(jang_yong-jun),2020 spring,4.0,⁠⁠dwg,,kr
ghost_(jang_yong-jun),2020 summer,1.0,⁠⁠dwg,19.671375,kr
ghost_(jang_yong-jun),2021 spring,1.0,⁠⁠dk,19.519415,kr
ghost_(jang_yong-jun),2021 summer,1.0,⁠⁠dk,19.818783,kr
ghost_(jang_yong-jun),2022 spring,8.0,⁠⁠ns,19.827707,kr
ghost_(jang_yong-jun),2022 summer,8.0,⁠⁠ns,20.035582,kr
nonamed,2013 summer,6.5,⁠⁠ctu,,kr
adc_test_(kang_sung-eun),2023 summer,8.0,⁠⁠t1.a,,kr
snowflower,2015 summer,8.0,⁠⁠ranc,,kr
snowflower,2016 spring,5.0,⁠⁠af,,kr
snowflower,2016 summer,3.0,⁠⁠af,,kr
snowflower,2017 spring,9.0,⁠⁠jag,,kr
snowflower,2017 summer,6.0,⁠⁠jag,25.351364,kr
snowflower,2019 spring,9.0,⁠⁠kt,,kr
snowflower,2019 summer,8.0,⁠⁠kt,24.860811,kr
snowflower,2022 summer,8.0,⁠⁠ns,,kr
maknoon,2012 spring,6.5,⁠⁠njf,,kr
maknoon,2012 summer,3.0,⁠⁠nj swd,,kr
maknoon,2013 spring,6.5,⁠⁠nj swd,,kr
minttea,2022 spring,6.0,⁠⁠bro,,kr
minttea,2022 summer,8.0,⁠⁠bro.a,,kr
minttea,2023 summer,1.0,⁠⁠bro.a,,kr
heart,2012 summer,12.5,⁠⁠romg,,kr
heart,2013 spring,10.5,⁠⁠mvp.b,,kr
heart,2013 summer,12.5,⁠⁠mvp.b,,kr
heart,2014 spring,1.0,⁠⁠ssb,,kr
heart,2014 summer,2.0,⁠⁠ssb,19.070389,kr
heart,2015 summer,10.5,⁠⁠up,20.028645,kr
heart,2016 spring,7.5,⁠⁠lgd,,kr
heart,2016 summer,5.0,⁠⁠lgd,,kr
heart,2017 spring,2.0,⁠⁠rng,,kr
heart,2018 spring,1.0,⁠⁠rng,,kr
heart,2018 summer,1.0,⁠⁠rng,,kr
heart,2019 spring,7.5,⁠⁠edg,,kr
heart,2019 summer,5.0,⁠⁠edg,,kr
heart,2020 spring,5.5,⁠⁠edg,,kr
heart,2020 summer,10.0,⁠⁠edg,,kr
heart,2021 spring,3.0,⁠⁠hle,24.15606,kr
heart,2021 summer,8.0,⁠⁠hle,,kr
heart,2022 spring,17.0,⁠⁠tt,,kr
heart,2022 summer,12.0,⁠⁠tt,23.525852,kr
heart,2023 spring,9.0,⁠⁠rng,,kr
untara,2016 spring,8.0,⁠⁠cj,23.78049,kr
untara,2016 summer,10.0,⁠⁠cj,23.969826,kr
untara,2017 summer,2.0,⁠⁠skt,25.164413,kr
untara,2018 spring,4.0,⁠⁠skt,24.450842,kr
untara,2018 summer,4.0,⁠⁠skt,22.654457,kr
untara,2020 spring,10.0,⁠⁠grf,22.789167,kr
roach,2016 spring,10.0,⁠⁠kdm,,kr
roach,2017 spring,10.0,⁠⁠kdm,,kr
roach,2018 spring,10.0,⁠⁠kdm,19.578129,kr
roach,2019 spring,7.0,⁠⁠gen,20.380676,kr
roach,2019 summer,6.0,⁠⁠gen,21.092623,kr
roach,2020 spring,2.0,⁠⁠t1,21.871021,kr
forest_(lee_hyeon-seo),2021 summer,4.0,⁠⁠t1.r,,kr
zandarc,2015 spring,5.0,⁠⁠kt,,kr
zandarc,2015 summer,1.0,⁠⁠kt,,kr
zandarc,2016 spring,3.0,⁠⁠kt,,kr
zandarc,2016 summer,2.0,⁠⁠kt,,kr
zandarc,2017 spring,2.0,⁠⁠kt,,kr
zandarc,2017 summer,2.0,⁠⁠kt,,kr
zandarc,2018 spring,3.0,⁠⁠kt,,kr
zandarc,2018 summer,1.0,⁠⁠kt,,kr
zandarc,2019 spring,9.0,⁠⁠kt,,kr
zandarc,2019 summer,8.0,⁠⁠kt,,kr
zandarc,2020 spring,15.0,⁠⁠lgd,27.322716,kr
gamin,2022 spring,6.0,⁠⁠bro,,kr
gamin,2022 summer,9.0,⁠⁠bro,,kr
dooti,2020 summer,3.0,⁠⁠lsb.a,,kr
dooti,2022 summer,7.0,⁠⁠lsb.a,,kr
ssong,2012 summer,3.0,⁠⁠nj swd,,kr
ssong,2013 spring,6.5,⁠⁠nj swd,,kr
ssong,2013 summer,12.5,⁠⁠njbs,,kr
ssong,2015 summer,3.0,⁠⁠koo,,kr
ssong,2016 spring,2.0,⁠⁠rox,,kr
ssong,2016 summer,1.0,⁠⁠rox,,kr
ssong,2017 spring,7.0,⁠⁠lz,,kr
ssong,2017 summer,2.0,⁠⁠imt,,kr
ssong,2018 spring,5.5,⁠⁠tsm,,kr
ssong,2018 summer,2.0,⁠⁠tsm,,kr
ssong,2019 spring,5.5,⁠⁠fox,22.104195,kr
ssong,2019 summer,10.0,⁠⁠fox,,kr
ssong,2020 spring,10.0,⁠⁠clg,,kr
ssong,2020 summer,9.0,⁠⁠clg,,kr
ssong,2021 spring,5.0,⁠⁠drx,22.168137,kr
ssong,2021 summer,10.0,⁠⁠drx,21.466656,kr
ssong,2022 spring,5.0,⁠⁠drx,23.892693,kr
ssong,2022 summer,2.0,⁠⁠drx,,kr
ssong,2023 spring,3.0,⁠⁠fly,,kr
semin,2021 summer,3.0,⁠⁠hle.a,,kr
semin,2022 summer,8.0,⁠⁠bro.a,,kr
ares_(kim_min-kwon),2015 spring,7.0,⁠⁠im,,kr
ares_(kim_min-kwon),2017 spring,8.0,⁠⁠bbq,,kr
ares_(kim_min-kwon),2017 summer,9.0,⁠⁠bbq,,kr
ares_(kim_min-kwon),2018 spring,8.0,⁠⁠bbq,,kr
ares_(kim_min-kwon),2018 summer,10.0,⁠⁠bbq,,kr
ares_(kim_min-kwon),2021 summer,1.0,⁠⁠dk,,kr
ddahyuk,2022 summer,7.0,⁠⁠lsb.a,,kr
captain_(choi_gang-in),2021 summer,8.0,⁠⁠efs,,kr
captain_(choi_gang-in),2023 summer,1.0,⁠⁠bro.a,,kr
vin_(shin_min-jae),2014 spring,12.5,⁠⁠xs,,kr
vin_(shin_min-jae),2014 summer,12.5,⁠⁠jag.f,,kr
abyss_(yoon_ki-chan),2022 summer,7.0,⁠⁠lsb.a,,kr
abyss_(yoon_ki-chan),2023 summer,5.0,⁠⁠kdf.a,,kr
imp,2013 spring,1.0,⁠⁠mvp.o,,kr
imp,2013 summer,3.0,⁠⁠mvp.o,,kr
imp,2014 spring,3.0,⁠⁠sso,,kr
imp,2014 summer,3.0,⁠⁠ssw,19.481083,kr
imp,2015 spring,2.0,⁠⁠lgd,20.39681,kr
imp,2015 summer,1.0,⁠⁠lgd,19.853264,kr
imp,2016 spring,7.5,⁠⁠lgd,21.15773,kr
imp,2016 summer,5.0,⁠⁠lgd,,kr
imp,2017 spring,6.0,⁠⁠lgd,20.668268,kr
imp,2017 summer,6.0,⁠⁠lgd,21.094664,kr
imp,2018 spring,6.0,⁠⁠lgd,,kr
imp,2018 summer,6.0,⁠⁠we,20.475006,kr
imp,2019 spring,2.0,⁠⁠jdg,22.662252,kr
imp,2019 summer,3.0,⁠⁠jdg,22.344042,kr
newt,2018 summer,5.0,⁠⁠lgd,,kr
aegis_(kin_sol-bin),2023 summer,7.0,⁠⁠drx.a,,kr
hwatoo,2012 spring,12.5,⁠⁠ddol,,kr
ragan,2013 summer,12.5,⁠⁠xs,,kr
test_mid,2022 summer,6.0,⁠⁠t1.r,,kr
flozel,2022 summer,8.0,⁠⁠bro.a,,kr
ian,2016 summer,6.0,⁠⁠mvp,20.047764,kr
ian,2017 spring,4.0,⁠⁠mvp,,kr
ian,2017 summer,4.0,⁠⁠mvp,,kr
ian,2018 spring,9.0,⁠⁠mvp,,kr
ian,2018 summer,9.0,⁠⁠mvp,19.199526,kr
ian,2019 spring,11.0,⁠⁠lgd,19.492315,kr
ian,2019 summer,15.0,⁠⁠vg,20.305826,kr
scouter,2012 spring,12.5,⁠⁠th,,kr
scouter,2022 summer,1.0,⁠⁠drx.a,,kr
kkureno,2014 spring,12.5,⁠⁠xs,,kr
bliss,2015 spring,8.0,⁠⁠ssg,20.071781,kr
bliss,2015 summer,7.0,⁠⁠ssg,20.212875,kr
kangqui,2012 summer,12.5,⁠⁠mvp.b,,kr
kangqui,2015 spring,10.5,⁠⁠ep,,kr
olleh,2014 spring,12.5,⁠⁠fio,,kr
olleh,2017 spring,7.0,⁠⁠imt,20.664581,kr
olleh,2017 summer,2.0,⁠⁠imt,,kr
olleh,2018 spring,1.0,⁠⁠tl,20.887592,kr
olleh,2018 summer,1.0,⁠⁠tl,21.918736,kr
olleh,2019 spring,5.5,⁠⁠gg,22.43206,kr
olleh,2019 summer,7.0,⁠⁠gg,21.474464,kr
olleh,2022 spring,5.5,⁠⁠gg,20.038982,kr
olleh,2022 summer,7.5,⁠⁠gg,22.239277,kr
deul,2017 summer,10.0,⁠⁠eew,,kr
kevin_(lee_sang-jun),2012 spring,12.5,⁠⁠litt,,kr
harp,2021 summer,7.0,⁠⁠kt,19.721775,kr
chaser,2014 spring,12.5,⁠⁠jag.f,,kr
chaser,2014 summer,6.5,⁠⁠jag.s,,kr
chaser,2015 spring,4.0,⁠⁠jag,20.083214,kr
chaser,2015 summer,2.0,⁠⁠jag,20.755133,kr
chaser,2016 spring,7.0,⁠⁠lz,,kr
chaser,2016 summer,8.0,⁠⁠lz,,kr
chaser,2017 spring,5.5,⁠⁠dig,20.641773,kr
chaser,2017 summer,5.0,⁠⁠dig,,kr
ggoggo,2013 summer,12.5,⁠⁠mig.b,,kr
danchung,2019 spring,12.0,⁠⁠ss,23.394348,kr
chang_(choi_chang-woo),2022 summer,6.0,⁠⁠hle.a,,kr
chimin,2016 spring,6.0,⁠⁠hyg,,kr
chimin,2016 summer,6.0,⁠⁠sat,,kr
noticed,2021 summer,2.0,⁠⁠af.a,,kr
onfleek,2019 spring,5.0,⁠⁠sb,,kr
onfleek,2019 summer,3.0,⁠⁠sb,20.035437,kr
onfleek,2020 spring,9.0,⁠⁠sb,20.60136,kr
onfleek,2020 summer,7.0,⁠⁠sb,20.83722,kr
onfleek,2021 spring,8.0,⁠⁠lsb,19.990938,kr
onfleek,2022 spring,10.0,⁠⁠hle,21.173162,kr
onfleek,2022 summer,10.0,⁠⁠hle,22.312073,kr
lody,2021 summer,1.0,⁠⁠bsm,,kr
lody,2022 summer,2.0,⁠⁠t1.r,,kr
nova_(park_chan-ho),2018 summer,8.0,⁠⁠jag,,kr
nova_(park_chan-ho),2019 spring,10.0,⁠⁠jag,,kr
nova_(park_chan-ho),2019 summer,10.0,⁠⁠jag,22.923283,kr
nova_(park_chan-ho),2020 summer,3.0,⁠⁠lsb.a,,kr
nova_(park_chan-ho),2022 spring,9.0,⁠⁠lsb,,kr
scarlet_(jeong_jae-ho),2013 summer,12.5,⁠⁠im2,,kr
soboro,2021 summer,4.0,⁠⁠gen.a,,kr
soboro,2022 spring,6.0,⁠⁠bro,,kr
hwichan,2023 summer,4.0,⁠⁠ns.a,,kr
sangchu,2021 summer,1.0,⁠⁠sek,,kr
emenes,2023 spring,1.0,⁠⁠c9,23.77953,kr
sweeper,2022 summer,7.0,⁠⁠kdf.a,,kr
promise_(cheon_min-ki),2013 spring,10.5,⁠⁠ahq.kr,,kr
thumb,2022 summer,2.0,⁠⁠dk y,,kr
thumb,2023 summer,3.0,⁠⁠dk.a,,kr
chei,2013 summer,12.5,⁠⁠xb,,kr
chei,2014 spring,12.5,⁠⁠xs,,kr
chei,2014 summer,6.5,⁠⁠jag.s,19.822498,kr
chei,2015 spring,4.0,⁠⁠jag,20.888893,kr
chei,2015 summer,2.0,⁠⁠jag,23.049337,kr
chei,2016 spring,4.0,⁠⁠jag,22.357162,kr
chei,2016 summer,4.0,⁠⁠jag,,kr
chei,2017 spring,5.5,⁠⁠h2k,22.865604,kr
chei,2017 summer,4.0,⁠⁠h2k,21.19403,kr
pout,2021 summer,1.0,⁠⁠sek,,kr
pout,2023 spring,13.0,⁠⁠nip,20.968464,kr
roast,2021 summer,2.0,⁠⁠af.a,,kr
meaning,2021 summer,2.0,⁠⁠sbt,,kr
dudu_(lee_dong-ju),2020 summer,9.0,⁠⁠hle,20.585402,kr
dudu_(lee_dong-ju),2021 spring,3.0,⁠⁠hle,20.447372,kr
dudu_(lee_dong-ju),2021 summer,8.0,⁠⁠hle,20.37703,kr
dudu_(lee_dong-ju),2022 spring,10.0,⁠⁠hle,20.95619,kr
dudu_(lee_dong-ju),2022 summer,10.0,⁠⁠hle,21.327318,kr
dudu_(lee_dong-ju),2023 spring,7.0,⁠⁠kdf,,kr
cpt_jack,2012 spring,1.0,⁠⁠mig.b,,kr
cpt_jack,2012 summer,4.0,⁠⁠azb,,kr
cpt_jack,2013 spring,2.0,⁠⁠cjb,20.203894,kr
cpt_jack,2013 summer,6.5,⁠⁠cjb,,kr
cpt_jack,2014 summer,6.5,⁠⁠jag.s,20.413502,kr
cpt_jack,2015 spring,4.0,⁠⁠jag,19.544708,kr
cpt_jack,2015 summer,6.0,⁠⁠jag,20.413502,kr
cpt_jack,2016 spring,7.0,⁠⁠lz,21.644478,kr
kepa,2022 summer,7.0,⁠⁠kdf.a,,kr
bugi,2023 spring,7.0,⁠⁠tsm,19.50927,kr
rounders,2012 spring,12.5,⁠⁠nel,,kr
burdol,2021 summer,2.0,⁠⁠gen,21.81908,kr
burdol,2022 spring,3.0,⁠⁠dk,21.16626,kr
burdol,2022 summer,1.0,⁠⁠dk,20.287785,kr
burdol,2023 spring,6.0,⁠⁠lsb,,kr
veritas,2016 summer,4.0,⁠⁠uol,24.519512,kr
feisty,2022 spring,6.0,⁠⁠bro,,kr
nice,2021 summer,1.0,⁠⁠bsm,,kr
hades_(lee_in-chan),2023 summer,6.0,⁠⁠gen.a,,kr
crack_(noh_ji-seong),2021 summer,3.0,⁠⁠hle.a,,kr
mapssi,2020 summer,4.0,⁠⁠af.a,,kr
mapssi,2021 spring,9.0,⁠⁠af,23.91882,kr
crash,2016 spring,7.0,⁠⁠lz,20.258427,kr
crash,2016 summer,8.0,⁠⁠lz,20.412777,kr
crash,2017 spring,7.0,⁠⁠lz,20.241028,kr
crash,2018 spring,7.0,⁠⁠vg,20.483345,kr
tom_(im_jae-hyeon),2015 spring,1.0,⁠⁠skt,,kr
tom_(im_jae-hyeon),2015 summer,1.0,⁠⁠skt,21.35694,kr
tom_(im_jae-hyeon),2020 summer,1.0,⁠⁠gen,20.857073,kr
tom_(im_jae-hyeon),2023 spring,2.0,⁠⁠t1,20.857073,kr
rich_(lee_jae-won),2019 summer,6.0,⁠⁠gen,20.65979,kr
rich_(lee_jae-won),2020 summer,8.0,⁠⁠dyn,23.19687,kr
rich_(lee_jae-won),2021 spring,6.0,⁠⁠ns,20.776457,kr
rich_(lee_jae-won),2021 summer,3.0,⁠⁠ns,20.550415,kr
rich_(lee_jae-won),2022 spring,3.0,⁠⁠v5,20.480764,kr
rich_(lee_jae-won),2022 summer,4.0,⁠⁠v5,,kr
rich_(lee_jae-won),2023 spring,13.0,⁠⁠nip,22.550198,kr
samver,2021 summer,5.0,⁠⁠fox b,,kr
drinker,2021 spring,10.0,⁠⁠bro,20.871834,kr
drinker,2021 summer,9.0,⁠⁠bro,,kr
drinker,2022 spring,6.0,⁠⁠bro,,kr
drinker,2022 summer,9.0,⁠⁠bro,,kr
drinker,2023 spring,8.0,⁠⁠bro,,kr
shine_(shin_dong-wook),2020 summer,9.0,⁠⁠rng,,kr
shine_(shin_dong-wook),2022 spring,4.0,⁠⁠drx,21.198572,kr
shine_(shin_dong-wook),2023 spring,9.0,⁠⁠drx,,kr
punch,2017 spring,10.0,⁠⁠kdm,,kr
punch,2019 spring,5.0,⁠⁠dwg,19.878378,kr
punch,2019 summer,2.0,⁠⁠dwg,,kr
punch,2020 spring,9.0,⁠⁠sb,19.862217,kr
marin,2014 spring,12.5,⁠⁠skt s,,kr
marin,2014 summer,4.0,⁠⁠skt s,,kr
marin,2015 spring,1.0,⁠⁠skt,,kr
marin,2015 summer,1.0,⁠⁠skt,21.193205,kr
marin,2016 spring,7.5,⁠⁠lgd,19.29212,kr
marin,2016 summer,5.0,⁠⁠lgd,,kr
marin,2017 spring,5.0,⁠⁠af,,kr
marin,2017 summer,3.0,⁠⁠af,,kr
marin,2018 spring,7.0,⁠⁠top,20.44739,kr
marin,2018 summer,3.0,⁠⁠top,20.16915,kr
marin,2023 spring,8.0,⁠⁠tl,,kr
loken,2016 summer,9.0,⁠⁠esc,,kr
loken,2017 spring,3.0,⁠⁠qgr,20.580387,kr
loken,2017 summer,5.0,⁠⁠jdg,20.353981,kr
loken,2018 spring,7.5,⁠⁠jdg,20.434317,kr
loken,2018 summer,3.0,⁠⁠jdg,21.171791,kr
loken,2019 spring,4.0,⁠⁠top,21.009624,kr
loken,2019 summer,2.0,⁠⁠tes,20.509392,kr
loken,2020 spring,1.0,⁠⁠jdg,21.888206,kr
loken,2020 summer,2.0,⁠⁠jdg,20.805677,kr
loken,2021 spring,5.5,⁠⁠jdg,19.961052,kr
loken,2021 summer,12.0,⁠⁠jdg,20.068073,kr
cypher,2022 summer,7.0,⁠⁠lsb.a,,kr
travel,2020 spring,5.0,⁠⁠dwg,,kr
travel,2022 spring,9.0,⁠⁠lsb,21.50733,kr
cain,2012 summer,3.0,⁠⁠nj swd,19.863815,kr
cain,2013 spring,6.5,⁠⁠nj swd,,kr
cain,2013 summer,12.5,⁠⁠njbs,,kr
cain,2014 spring,12.5,⁠⁠njbs,,kr
cain,2014 summer,6.5,⁠⁠njbs,22.371897,kr
cain,2015 spring,6.0,⁠⁠njf,21.166946,kr
cain,2016 spring,8.0,⁠⁠cj,,kr
cain,2016 summer,10.0,⁠⁠cj,,kr
cain,2017 spring,9.0,⁠⁠tl,,kr
cain,2017 summer,9.0,⁠⁠tl,,kr
cain,2018 spring,1.0,⁠⁠tl,,kr
cain,2018 summer,1.0,⁠⁠tl,,kr
cain,2019 spring,1.0,⁠⁠tl,21.895735,kr
cain,2019 summer,1.0,⁠⁠tl,,kr
cain,2020 spring,9.0,⁠⁠tl,,kr
cain,2020 summer,3.0,⁠⁠tl,,kr
cain,2021 summer,6.0,⁠⁠af,,kr
cain,2022 spring,4.0,⁠⁠kdf,22.271118,kr
cain,2022 summer,7.0,⁠⁠kdf,,kr
envyy,2022 spring,9.0,⁠⁠lsb,21.259357,kr
envyy,2023 spring,6.0,⁠⁠lsb,21.259357,kr
h_dragon,2015 spring,4.0,⁠⁠jag,,kr
h_dragon,2015 summer,2.0,⁠⁠jag,,kr
h_dragon,2016 spring,4.0,⁠⁠jag,,kr
h_dragon,2016 summer,4.0,⁠⁠jag,,kr
h_dragon,2017 spring,9.0,⁠⁠jag,,kr
h_dragon,2017 summer,6.0,⁠⁠jag,,kr
h_dragon,2018 spring,7.0,⁠⁠jag,,kr
h_dragon,2018 summer,8.0,⁠⁠jag,,kr
h_dragon,2019 spring,10.0,⁠⁠jag,,kr
h_dragon,2019 summer,10.0,⁠⁠jag,,kr
h_dragon,2020 spring,10.0,⁠⁠grf,,kr
museong,2020 summer,1.0,⁠⁠drx.r,,kr
museong,2021 spring,5.0,⁠⁠drx,23.217384,kr
museong,2022 spring,2.0,⁠⁠gen,22.229725,kr
chief,2015 summer,4.0,⁠⁠ss,,kr
